2022-07-16_01-28-29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-07-16_01-28-29 [main] INFO  c.c.p.PolicymicroserviceApplication - Starting PolicymicroserviceApplication using Java 17.0.2 on ADITYA with PID 13628 (D:\Work\CTS Learning\MFPE Projects\PAS-FINAL\policymicroservice\target\classes started by Aditya in D:\Work\CTS Learning\MFPE Projects\PAS-FINAL\policymicroservice)
2022-07-16_01-28-29 [main] INFO  c.c.p.PolicymicroserviceApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-16_01-28-29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-07-16_01-28-29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 1 JPA repository interfaces.
2022-07-16_01-28-29 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9546a9de-15e2-31ff-aaa3-b01d81836fd4
2022-07-16_01-28-29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9003 (http)
2022-07-16_01-28-29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9003"]
2022-07-16_01-28-29 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-07-16_01-28-29 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-16_01-28-29 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-16_01-28-29 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4125 ms
2022-07-16_01-28-29 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-07-16_01-28-29 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-07-16_01-28-29 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2'. Database available at 'jdbc:h2:mem:mydb'
2022-07-16_01-28-29 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-07-16_01-28-29 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
2022-07-16_01-28-29 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-07-16_01-28-29 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-07-16_01-28-29 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-07-16_01-28-29 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-07-16_01-28-29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9003"]
2022-07-16_01-28-29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9003 (http) with context path ''
2022-07-16_01-28-29 [main] INFO  c.c.p.PolicymicroserviceApplication - Started PolicymicroserviceApplication in 11.518 seconds (JVM running for 14.284)
2022-07-16_01-28-29 [http-nio-9003-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-16_01-28-29 [http-nio-9003-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-16_01-28-29 [http-nio-9003-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1949 ms
2022-07-16_01-28-29 [RMI TCP Connection(65)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
